GraphNo,Stadd1,aCo,bCo,cCo
133,647,1,353,124609
133,0,1,1000,1000000
134,670,1,330,108900
134,0,1,1000,1000000
135,638,1,362,131044
135,0,1,1000,1000000
136,634,1,366,133956
136,0,1,1000,1000000
137,651,1,349,121801
137,0,1,1000,1000000
138,664,1,336,112896
138,0,1,1000,1000000
139,619,1,381,145161
139,0,1,1000,1000000
140,652,1,348,121104
140,0,1,1000,1000000
141,642,1,358,128164
141,0,1,1000,1000000
142,686,1,314,98596
142,0,1,1000,1000000
143,642,1,358,128164
143,0,1,1000,1000000
144,636,1,364,132496
144,0,1,1000,1000000
145,657,1,343,117649
145,0,1,1000,1000000
146,674,1,326,106276
146,0,1,1000,1000000
147,651,1,349,121801
147,0,1,1000,1000000
148,631,1,369,136161
148,0,1,1000,1000000
149,641,1,359,128881
149,0,1,1000,1000000
150,649,1,351,123201
150,0,1,1000,1000000
151,642,1,358,128164
151,0,1,1000,1000000
152,657,1,343,117649
152,0,1,1000,1000000
153,655,1,345,119025
153,0,1,1000,1000000
154,629,1,371,137641
154,0,1,1000,1000000
155,643,1,357,127449
155,0,1,1000,1000000
156,655,1,345,119025
156,0,1,1000,1000000
157,669,1,331,109561
157,0,1,1000,1000000
158,655,1,345,119025
158,0,1,1000,1000000
159,672,1,328,107584
159,0,1,1000,1000000
160,660,1,340,115600
160,0,1,1000,1000000
161,635,1,365,133225
161,0,1,1000,1000000
162,625,1,375,140625
162,0,1,1000,1000000
163,654,1,346,119716
163,0,1,1000,1000000
164,672,1,328,107584
164,0,1,1000,1000000
165,655,1,345,119025
165,0,1,1000,1000000
166,674,1,326,106276
166,0,1,1000,1000000
167,655,1,345,119025
167,0,1,1000,1000000
168,642,1,358,128164
168,0,1,1000,1000000
169,664,1,336,112896
169,0,1,1000,1000000
170,659,1,341,116281
170,0,1,1000,1000000
171,634,1,366,133956
171,0,1,1000,1000000
172,664,1,336,112896
172,0,1,1000,1000000
173,659,1,341,116281
173,0,1,1000,1000000
174,637,1,363,131769
174,0,1,1000,1000000
175,656,1,344,118336
175,0,1,1000,1000000
176,700,1,300,90000
176,0,1,1000,1000000
177,634,1,366,133956
177,0,1,1000,1000000
178,638,1,362,131044
178,0,1,1000,1000000
179,649,1,351,123201
179,0,1,1000,1000000
180,652,1,348,121104
180,0,1,1000,1000000
181,654,1,346,119716
181,0,1,1000,1000000
182,615,1,385,148225
182,0,1,1000,1000000
183,656,1,344,118336
183,0,1,1000,1000000
184,653,1,347,120409
184,0,1,1000,1000000
185,641,1,359,128881
185,0,1,1000,1000000
186,659,1,341,116281
186,0,1,1000,1000000
